Variable,Type,Description
OWNERSHP,See IPUMS codebook (https://usa.ipums.org/usa/volii/codebooks.shtml),See IPUMS codebook (https://usa.ipums.org/usa/volii/codebooks.shtml)
DIFFSENS,See IPUMS codebook (https://usa.ipums.org/usa/volii/codebooks.shtml),See IPUMS codebook (https://usa.ipums.org/usa/volii/codebooks.shtml)
State code,See IPUMS codebook (https://usa.ipums.org/usa/volii/codebooks.shtml),See IPUMS codebook (https://usa.ipums.org/usa/volii/codebooks.shtml)
DIFFREM,See IPUMS codebook (https://usa.ipums.org/usa/volii/codebooks.shtml),See IPUMS codebook (https://usa.ipums.org/usa/volii/codebooks.shtml)
County code,See IPUMS codebook (https://usa.ipums.org/usa/volii/codebooks.shtml),See IPUMS codebook (https://usa.ipums.org/usa/volii/codebooks.shtml)
STATEFIP,See IPUMS codebook (https://usa.ipums.org/usa/volii/codebooks.shtml),See IPUMS codebook (https://usa.ipums.org/usa/volii/codebooks.shtml)
HISPAN,See IPUMS codebook (https://usa.ipums.org/usa/volii/codebooks.shtml),See IPUMS codebook (https://usa.ipums.org/usa/volii/codebooks.shtml)
HISPAND,See IPUMS codebook (https://usa.ipums.org/usa/volii/codebooks.shtml),See IPUMS codebook (https://usa.ipums.org/usa/volii/codebooks.shtml)
SEX,See IPUMS codebook (https://usa.ipums.org/usa/volii/codebooks.shtml),See IPUMS codebook (https://usa.ipums.org/usa/volii/codebooks.shtml)
DIFFMOB,See IPUMS codebook (https://usa.ipums.org/usa/volii/codebooks.shtml),See IPUMS codebook (https://usa.ipums.org/usa/volii/codebooks.shtml)
MORTGAGE,See IPUMS codebook (https://usa.ipums.org/usa/volii/codebooks.shtml),See IPUMS codebook (https://usa.ipums.org/usa/volii/codebooks.shtml)
EMPSTATD,See IPUMS codebook (https://usa.ipums.org/usa/volii/codebooks.shtml),See IPUMS codebook (https://usa.ipums.org/usa/volii/codebooks.shtml)
EMPSTAT,See IPUMS codebook (https://usa.ipums.org/usa/volii/codebooks.shtml),See IPUMS codebook (https://usa.ipums.org/usa/volii/codebooks.shtml)
NCHILD,See IPUMS codebook (https://usa.ipums.org/usa/volii/codebooks.shtml),See IPUMS codebook (https://usa.ipums.org/usa/volii/codebooks.shtml)
CITIZEN,See IPUMS codebook (https://usa.ipums.org/usa/volii/codebooks.shtml),See IPUMS codebook (https://usa.ipums.org/usa/volii/codebooks.shtml)
OWNERSHPD,See IPUMS codebook (https://usa.ipums.org/usa/volii/codebooks.shtml),See IPUMS codebook (https://usa.ipums.org/usa/volii/codebooks.shtml)
RACE,See IPUMS codebook (https://usa.ipums.org/usa/volii/codebooks.shtml),See IPUMS codebook (https://usa.ipums.org/usa/volii/codebooks.shtml)
DIFFPHYS,See IPUMS codebook (https://usa.ipums.org/usa/volii/codebooks.shtml),See IPUMS codebook (https://usa.ipums.org/usa/volii/codebooks.shtml)
State,See IPUMS codebook (https://usa.ipums.org/usa/volii/codebooks.shtml),See IPUMS codebook (https://usa.ipums.org/usa/volii/codebooks.shtml)
County_Name,string,County name derived from PUMA value via Geocorr crosswalk
FAMILYNUMBER,string,"Unique family ID within household (concatenation of CBSERIAL, FAMUNIT, and County_Name)"
NFAMS_B4_SPLIT,int,Number of families in household before family splitting logic
FAMSIZE_adjusted,int,Family size after splitting households into distinct families 
HHWT_fam_adjusted,float,"Reweighted household weight-explodes multifam households into distinct units. If multifam households were split by 'family', this weight reweights families into so that they are counted as new/distinct households"
allocation factor,float,Geocorr PUMA-to-county allocation factor for given PUMA
2adults,int (0/1),Binary indicator of exactly two adults in a household with children
1adult,int (0/1),Binary indicator of exactly one adult in a household with children
female_head,int (0/1),Binary indicator of female-headed household
female_head_child,int (0/1),Binary indicator of female-headed household with children
male_head,int (0/1),Binary indicator of male-headed household in the household
male_head_child,int (0/1),Binary indicator of male-headed household with children in the household
age62plus,int (0/1),Binary indicator of at least one household member aged 62 or older
age75plus,int (0/1),Binary indicator of at least one household member aged 75 or older
minority,int (0/1),Binary indicator of household classified as a racial/ethnic minority (True if NOT white_nonhsp)
white_nonhsp,int (0/1),Binary indicator of non-Hispanic white household
black_nonhsp,int (0/1),Binary indicator of non-Hispanic Black household
native_american_nonhsp,int (0/1),Binary indicator of non-Hispanic Native American/Alaska Native household
asian_nonhsp,int (0/1),Binary indicator of non-Hispanic Asian household
mixed_nonhsp,int (0/1),Binary indicator of non-Hispanic multiracial household
otherrace,int (0/1),Binary indicator of non-Hispanic household of other race
hispanic,int (0/1),Binary indicator of Hispanic (any race) household
noncitizen,int (0/1),Binary indicator of non-citizen household
owner,int (0/1),Binary indicator of owner-occupied household
renter,int (0/1),Binary indicator of renter-occupied household
mortgage_paid,int (0/1),Binary indicator of owner household with mortgage fully paid
disab_hearing_vision,int (0/1),Binary indicator of at least one member with hearing or vision disability
disab_ambulatory,int (0/1),Binary indicator of at least one member with ambulatory disability
disab_cognitative,int (0/1),Binary indicator of at least one member with cognitive disability
disab_independent_living,int (0/1),Binary indicator of at least one member with independent-living disability
veteran,int (0/1),Binary indicator of at least one veteran in the household
hs_complete,int (0/1),Binary indicator of at least one member with high-school diploma or equivalent
bachelor_complete,int (0/1),Binary indicator of at least one member with bachelor's degree
grad_school,int (0/1),Binary indicator of at least one member with graduate-level education
employed,int (0/1),Binary indicator of at least one employed member
disab_any,int (0/1),Binary indicator of at least one member with any disability
il30_p1–p8,float,"HUD AMI 30% income limits for given county, for household sizes of 1-8 persons"
il50_p1–p8,float,"HUD AMI 50% income limits for given county, for household sizes of 1-8 persons"
il80_p1–p8,float,"HUD AMI 80% income limits for given county, for household sizes of 1-8 persons"
Eligible_at_30%,int (0/1),Binary indicator of subsidy eligibility at 30% HUD AMI level
Weighted_Eligibility_Count_30%,float,"If Eligible at 30% HUD AMI level, number of eligible households represented by this record"
Eligible_at_50%,int (0/1),Binary indicator of subsidy eligibility at 50% HUD AMI level
Weighted_Eligibility_Count_50%,float,"If Eligible at 50% HUD AMI level, number of eligible households represented by this record"
Eligible_at_80%,int (0/1),Binary indicator of subsidy eligibility at 80% HUD AMI level
Weighted_Eligibility_Count_80%,float,"If Eligible at 80% HUD AMI level, number of eligible households represented by this record"
